Year,SLIE Distance (km),Breakup Date (DOY),Breakup Uncertainty (days)
2000,16.318127382021,178,4
2001,6.32644714213157,175.5,21
2002,12.3756705297851,152.5,1
2003,8.72315404171288,152.5,1
2004,10.0966650587357,158.5,1
2005,10.3141952986884,158,6
2006,20.6528627922676,172.5,11
2007,12.0822031593516,162.5,1
2008,9.14284524782388,169.5,7
2009,16.0303633159276,162.5,1
2010,8.77219672801698,174.5,1
2011,14.8399032417436,161.5,1
2012,11.4104791622544,171.5,1
2013,16.8320778676016,175.5,3
2014,11.4654078036229,159.5,1
2015,13.2345331309852,147.5,1
2016,7.4119577235153,163,2
2017,13.8804723442645,148.5,1
2018,6.44774520328544,150,2
2019,4.53427077186667,148.5,3
2020,23.8414050447924,153.5,1
2021,9.82436334036071,150,2
2022,15.0790464964336,162.5,1
