Year,SLIE Distance (km),Breakup Date (DOY),Breakup Uncertainty (days)
2000,9.47763789941391,142.5,7
2001,1.92891187316513,141.5,1
2002,7.05810263225294,127,12
2003,4.08994360244864,118,4
2004,5.68154725512502,116,2
2005,3.40332025252903,125.5,7
2006,7.19466022108731,147.5,1
2007,8.52354924348431,127.5,7
2008,10.7237305554674,142.5,1
2009,10.3169340937502,144.5,1
2010,9.70023857352072,143,6
2011,6.4369164122358,137.5,3
2012,9.05890121077959,147.5,3
2013,8.00414856086129,150.5,1
2014,4.15999412053834,109.5,5
2015,4.37940919529576,118,2
2016,2.67934117943865,105.5,1
2017,7.79465704176285,122.5,1
2018,3.78161145986833,107,4
2019,1.93207548923725,109.5,9
2020,8.3913480171666,125.5,1
2021,6.02421890572779,130,6
2022,8.00253140765265,119,4
