Year,SLIE Distance (km),Breakup Date (DOY),Breakup Uncertainty (days)
2000,94.8826019939772,180.5,1
2001,17.6416064763208,174.5,23
2002,80.4423824801591,161.5,1
2003,87.2336238228356,161.5,3
2004,54.357584202197,154,2
2005,83.4694699731329,164.5,1
2006,36.277139877643,174.5,3
2007,106.894559106595,170.5,1
2008,108.788928248261,169.5,7
2009,22.7436290705271,161.5,1
2010,123.147758146082,172.5,1
2011,24.5978523450757,159.5,3
2012,120.091076686339,176,2
2013,77.9597663277988,169.5,1
2014,56.225118814833,162.5,1
2015,91.2605291321581,152.5,1
2016,117.029002145895,152.5,1
2017,75.2177888736774,165.5,1
2018,18.6035817738092,149.5,1
2019,13.8102693183275,145.5,1
2020,87.2372238759088,165.5,1
2021,50.8871099111246,169,2
2022,86.064027746772,174.5,7
