Year,SLIE Distance (km),Breakup Date (DOY),Breakup Uncertainty (days)
2000,11.0036591208142,163.5,5
2001,7.04000745028406,158.5,1
2002,10.7841811319387,147.5,1
2003,6.79983286734497,149.5,1
2004,8.58196896869488,140.5,1
2005,11.6439107046735,138.5,3
2006,14.0567727632566,157.5,3
2007,10.9718078024002,149,2
2008,10.6078643172397,151.5,1
2009,15.9670272303305,156.5,3
2010,11.3132626954019,151.5,1
2011,18.8491091941735,151.5,3
2012,12.1861986109831,169.5,1
2013,10.8747865517069,160,6
2014,9.7239645937744,138,2
2015,14.7878679409253,140.5,3
2016,8.14928331045344,131,6
2017,15.9484496656446,147,4
2018,11.574089151613,143,2
2019,5.52409309165755,136,2
2020,13.6168214323974,145,2
2021,10.0419635959429,145.5,1
2022,11.6287224493374,151,2
