Year,SLIE Distance (km),Breakup Date (DOY),Breakup Uncertainty (days)
2000,24.6652682135565,160.5,1
2001,16.675508310135,155.5,1
2002,26.5382738476285,146.5,1
2003,23.3497346258952,143.5,1
2004,27.3142126191158,132,14
2005,25.0567227677205,144.5,1
2006,25.1563455539501,153,2
2007,29.4448574949657,150.5,1
2008,28.4340850180613,147.5,7
2009,30.8399889463537,155,8
2010,36.89663521193,154.5,1
2011,24.0543523923754,147.5,1
2012,31.7091706292452,157.5,3
2013,26.7475179282425,159.5,7
2014,29.9909169351856,131.5,15
2015,23.3131460807937,139.5,5
2016,24.7160702335093,130,4
2017,29.0370623915936,134,2
2018,17.8205018924754,133,6
2019,6.95659531764114,129.5,9
2020,28.7257335427214,142,4
2021,25.8367004109919,146.5,1
2022,24.1606168078122,136,2
