Year,SLIE Distance (km),Breakup Date (DOY),Breakup Uncertainty (days)
2000,6.6416506953791,163.5,3
2001,0,0,0
2002,3.03157308909174,156.5,3
2003,0,0,0
2004,2.03271262282356,146.5,13
2005,2.98526779923977,151,8
2006,5.58400877018671,135.5,9
2007,3.90301419519633,142,2
2008,4.95880925003573,152.5,1
2009,4.23684035764303,155.5,9
2010,0.441077522095511,138.5,1
2011,0.562324602209009,143.5,5
2012,2.97234832026658,166.5,1
2013,3.78011173637368,161,6
2014,3.94048312248016,138,2
2015,2.67047197893845,149,4
2016,4.81401187072852,144,10
2017,2.83065368777756,122,4
2018,0,0,0
2019,0,0,0
2020,2.45064617242464,160.5,1
2021,0.511311248629868,170.5,1
2022,5.11122163224493,128,2
