Year,SLIE Distance (km),Breakup Date (DOY),Breakup Uncertainty (days)
2000,8.36975879284298,163.5,5
2001,5.84103623053536,158.5,1
2002,8.43678427923167,147.5,1
2003,5.15448914203262,149.5,1
2004,6.77560070874835,140.5,1
2005,9.36150566671913,138.5,3
2006,10.9867345733128,157.5,3
2007,8.67653740972666,148.5,1
2008,8.81317570471413,150.5,1
2009,12.8062735515376,156.5,3
2010,8.37937486983913,151.5,1
2011,14.4797706051657,151.5,3
2012,9.03308923854433,160.5,3
2013,9.05003449724861,160,6
2014,7.48260477350698,138,2
2015,11.2830444372797,140.5,3
2016,6.44222896003037,131,6
2017,12.5142486975162,146,2
2018,10.1248232709885,141,2
2019,4.64415395509922,136,2
2020,10.6644077050225,145,2
2021,8.2635840418436,144.5,1
2022,8.71271890634867,151,2
