Year,SLIE Distance (km),Breakup Date (DOY),Breakup Uncertainty (days)
2000,14.2903689145701,151.5,11
2001,5.04131625512002,142.5,9
2002,11.5761431394689,138.5,3
2003,6.96376989719657,137.5,5
2004,7.99586415818797,121.5,1
2005,7.97785834653837,138,10
2006,12.8262382408838,148.5,1
2007,10.5837928886219,143,6
2008,13.0375084620821,147,8
2009,16.6535246903558,148.5,3
2010,17.0962785414162,149.5,1
2011,10.4737652026352,138,2
2012,12.2281367821824,153,6
2013,10.9277665729536,154.5,5
2014,6.99166695472598,118.5,5
2015,7.92946457992567,137,16
2016,5.033029089539,119.5,3
2017,11.4960580109863,123.5,7
2018,6.95154583495257,120,20
2019,2.61309204216168,122,6
2020,11.9126829592782,131,2
2021,9.93148244420757,139.5,9
2022,10.1878810902422,128.5,9
