Year,SLIE Distance (km),Breakup Date (DOY),Breakup Uncertainty (days)
2000,45.8269996815101,203.5,1
2001,29.6108555841235,234,12
2002,15.1450603904204,231,8
2003,46.722953202217,215,2
2004,30.7457709589922,200.5,1
2005,17.2620237966762,198.5,1
2006,16.5160435815527,207.5,1
2007,11.5664147209564,184.5,1
2008,25.8015123908536,180.5,1
2009,9.5963410994325,183.5,1
2010,24.0648376922089,199,4
2011,23.6500325521502,182.5,1
2012,24.9859628627011,189.5,1
2013,24.4987502674526,188.5,1
2014,17.316633533378,187.5,3
2015,22.920799714631,198.5,7
2016,23.6295593715266,176.5,1
2017,16.5325342746522,178.5,1
2018,12.9283654384055,NaN,NaN
2019,10.7301605014205,172.5,1
2020,13.4478707837264,183.5,5
2021,13.7440688191012,181.5,9
2022,12.9498627858887,197,2
