Year,SLIE Distance (km),Breakup Date (DOY),Breakup Uncertainty (days)
2000,10.1638370961787,142.5,7
2001,2.4949738905589,141.5,1
2002,8.12888771690364,127,12
2003,4.69602024247753,118,4
2004,6.77033355849818,118,2
2005,3.97496231485452,121.5,1
2006,9.07765756528177,147.5,1
2007,8.95969160344256,122.5,3
2008,11.5889491535021,142.5,1
2009,11.7233077167651,142,2
2010,10.2812157593763,142.5,5
2011,8.4503306264594,137.5,3
2012,10.0567107398315,144,2
2013,8.72092613635685,149.5,1
2014,4.61203794158449,109.5,5
2015,5.41731312943305,115.5,1
2016,3.37835923363049,102.5,1
2017,9.6192710845151,116,12
2018,5.34720620880012,117.5,17
2019,2.71990759728161,109.5,9
2020,9.51939411789919,123.5,1
2021,7.402233437859,130,6
2022,9.53778302775992,119,4
