Year,SLIE Distance (km),Breakup Date (DOY),Breakup Uncertainty (days)
2000,7.88315489173891,181.5,1
2001,4.05355822423529,176,20
2002,9.8699131768536,150.5,1
2003,5.15460299782635,161.5,3
2004,6.48830621561442,151.5,1
2005,7.11591675724769,169.5,1
2006,13.1804837506613,182.5,5
2007,7.37430714342496,172,2
2008,12.8021832674349,185.5,1
2009,6.77826992540419,171.5,1
2010,9.81864246235885,176.5,1
2011,11.8305320903179,163.5,1
2012,17.0587080391387,185.5,1
2013,5.07927097477045,176.5,1
2014,4.925392280789,157.5,1
2015,11.0388337016088,150.5,1
2016,14.4359753805205,152.5,1
2017,17.1845770117799,161.5,3
2018,3.37124252178175,132,2
2019,2.96109658977483,151.5,1
2020,11.6721804561138,157.5,1
2021,3.09096820733832,171,2
2022,7.49519570970973,161.5,1
