Year,SLIE Distance (km),Breakup Date (DOY),Breakup Uncertainty (days)
2000,8.89958759220916,139.5,1
2001,3.53546174263298,134.5,1
2002,6.54863187208616,127,12
2003,4.44312547659738,115,2
2004,6.37521925186793,116,2
2005,4.44466972956483,121.5,1
2006,9.01547712061248,146.5,1
2007,8.50724789287803,126,10
2008,9.67122949901264,140.5,1
2009,10.122267984232,132.5,1
2010,8.88404359669668,133,10
2011,8.38012766748977,129.5,1
2012,9.51437114391163,142,2
2013,7.49194403677146,146.5,1
2014,4.25653761870583,109.5,5
2015,5.78598107520299,111,8
2016,3.5983401911076,102.5,1
2017,9.58296508992715,120,4
2018,4.08624592111052,117.5,17
2019,3.03345118304635,99,6
2020,8.91102097372238,120,2
2021,7.40638984097394,126.5,1
2022,7.92102656772022,116.5,1
