Year,SLIE Distance (km),Breakup Date (DOY),Breakup Uncertainty (days)
2000,16.6465451486932,160.5,1
2001,11.3995766435331,156.5,1
2002,21.1706405839721,147.5,1
2003,17.8675589958634,143.5,1
2004,22.7173232821227,132,14
2005,19.2046502767175,144.5,1
2006,16.9441344749443,153,2
2007,25.0000282652335,151.5,1
2008,22.2764663970296,147.5,7
2009,20.6136236001879,157,4
2010,30.3080501552691,164,12
2011,16.8080217522506,153.5,1
2012,28.1274943405869,160.5,3
2013,19.5037808107458,160,6
2014,21.2913405152923,131.5,15
2015,16.9690784478872,139.5,5
2016,19.0922858232365,131,6
2017,23.3795184408697,136,2
2018,13.1797512049829,129.5,13
2019,4.40465695018962,126,2
2020,22.5898685219489,143,6
2021,18.112701698107,146.5,1
2022,18.7537285766036,138.5,1
