Year,SLIE Distance (km),Breakup Date (DOY),Breakup Uncertainty (days)
2000,81.3452575350383,180.5,1
2001,18.157697468802,174.5,23
2002,67.5707585964939,161.5,1
2003,74.926238542838,161.5,3
2004,43.4684219875577,154,2
2005,71.0673433039095,165.5,1
2006,29.7439430457286,174.5,3
2007,90.7253872957841,173,2
2008,99.2803257363816,179,2
2009,22.5215043871133,163.5,1
2010,105.492612084541,174.5,1
2011,25.0925015069511,159.5,3
2012,108.830547105366,177.5,1
2013,65.522826178093,169.5,1
2014,44.2594202225813,162.5,1
2015,80.2310271953002,152.5,1
2016,107.433095544417,152.5,1
2017,64.738020762451,161,4
2018,19.2622931659494,150.5,1
2019,16.4003843736903,149.5,1
2020,75.2605504204171,165.5,1
2021,41.727150325398,169,2
2022,73.3480030079931,174.5,7
