Year,SLIE Distance (km),Breakup Date (DOY),Breakup Uncertainty (days)
2000,12.9920584309964,163.5,5
2001,7.66467681757878,158.5,1
2002,12.3843651077277,147.5,1
2003,7.75519866755337,149.5,1
2004,9.73141108325357,140.5,1
2005,12.96257572673,138.5,3
2006,17.2119127090825,160,2
2007,11.6918964046131,150,2
2008,11.3886656079509,151.5,1
2009,18.1237245433931,156.5,3
2010,12.6498578725062,152,2
2011,23.1436651566882,151.5,3
2012,14.3345557819021,160.5,3
2013,11.8538947815419,160,6
2014,10.9146717515191,135,4
2015,17.85888470591,140.5,3
2016,8.69157670090866,131,6
2017,18.1403125902622,147,4
2018,11.5464618526254,142,4
2019,5.47861085114655,136,2
2020,15.4495862246164,147.5,3
2021,10.6269465225954,145.5,1
2022,13.1608736771614,152.5,1
