Year,SLIE Distance (km),Breakup Date (DOY),Breakup Uncertainty (days)
2000,9.44931147592857,139.5,1
2001,3.63921174508441,134.5,1
2002,6.93935562363867,127,12
2003,4.66872236956057,115,2
2004,6.54018021857473,116,2
2005,4.69094135220393,121.5,1
2006,9.37484963195579,146.5,1
2007,8.62131439929671,122.5,3
2008,10.0045141638721,141.5,1
2009,10.6816329812626,132.5,1
2010,9.19287618082424,133,10
2011,8.94132662130211,133.5,5
2012,9.83996443586345,142.5,1
2013,7.86215330373695,147.5,1
2014,4.32671065501924,109.5,5
2015,5.96152798316593,115.5,1
2016,3.77990097036752,102.5,1
2017,9.93919797425305,120,4
2018,4.4411953076549,117.5,17
2019,3.17862378114636,99,6
2020,9.18519679307723,122,2
2021,7.73414464234939,130,6
2022,8.3477283538834,116.5,1
