Year,SLIE Distance (km),Breakup Date (DOY),Breakup Uncertainty (days)
2000,4.94311393909956,151.5,11
2001,0.627829843305569,141.5,1
2002,3.92754554452755,133.5,1
2003,2.74024675369029,119,2
2004,2.8591413032516,120,2
2005,1.19438560325735,129.5,1
2006,3.30275104548395,149.5,1
2007,4.88188927663103,127.5,7
2008,6.73413042603997,146.5,9
2009,5.842239460597,146.5,1
2010,6.58449180936199,146.5,1
2011,2.51118262374462,137.5,3
2012,5.66106536268642,151,2
2013,4.6581135657105,151.5,1
2014,3.28007861137016,115.5,1
2015,2.78193893255816,127,4
2016,2.18840586495059,118.5,1
2017,5.3955002463685,124,8
2018,1.384429803461,107,4
2019,0.58496300621581,122,6
2020,4.949686674435,127.5,1
2021,2.42392342142263,138.5,11
2022,4.47077446632506,121.5,1
