Year,SLIE Distance (km),Breakup Date (DOY),Breakup Uncertainty (days)
2000,13.730526518273,151.5,11
2001,3.70852043317405,139.5,5
2002,9.73923383700422,138.5,3
2003,5.65047147937303,128.5,13
2004,6.56756108445778,120,2
2005,5.88882923215599,131.5,1
2006,10.461540348045,149.5,1
2007,10.0879817197571,132,2
2008,13.7007194486605,146.5,9
2009,13.5579920185927,147.5,1
2010,13.0319034501584,143,6
2011,8.94413544699,138,2
2012,11.3080872990184,153.5,3
2013,10.5569805436688,154.5,5
2014,4.99249831129795,116.5,1
2015,5.67712140998804,137,16
2016,3.50715318292098,114.5,1
2017,9.47464322079526,124,8
2018,6.36742468760403,117.5,17
2019,2.52215725742645,122,6
2020,10.0673541458971,129.5,1
2021,7.57843702008391,141.5,5
2022,10.1623164157608,124.5,1
