Year,SLIE Distance (km),Breakup Date (DOY),Breakup Uncertainty (days)
2000,12.0983406751889,168.5,1
2001,4.4126011443026,175.5,21
2002,8.09096131746633,148.5,1
2003,6.54985569621852,134.5,1
2004,7.46090505945741,146.5,1
2005,7.52495865288662,134,2
2006,15.8816206782826,172.5,11
2007,8.28693493439726,145,4
2008,8.14875621426207,156,2
2009,13.421399684768,157.5,5
2010,5.50083377080397,146,2
2011,11.7412123216756,153.5,1
2012,8.60424009359259,146.5,1
2013,11.3926322042208,166.5,3
2014,6.4436032759151,142.5,1
2015,9.91381394699821,139,8
2016,5.15223941583994,135.5,1
2017,9.85910195165431,144,6
2018,6.93095140879098,131.5,7
2019,4.66493730998837,150.5,1
2020,18.6502037802196,149.5,1
2021,8.30391199742277,146.5,1
2022,9.74709407453758,142.5,1
