Year,SLIE Distance (km),Breakup Date (DOY),Breakup Uncertainty (days)
2000,55.5056277425871,216,2
2001,53.5840238036703,233,12
2002,53.3512430179515,201.5,1
2003,71.9828787700455,215,2
2004,57.4927196648488,201.5,3
2005,51.0095574781181,223,2
2006,53.2082927190648,NaN,NaN
2007,49.3028981486874,197,2
2008,50.0429613459173,185.5,1
2009,50.1298844016201,190,6
2010,60.2732456205547,213,2
2011,50.8053710355105,198,2
2012,60.3892065557234,199,2
2013,54.8859237378598,195.5,1
2014,81.5103752233799,201.5,9
2015,55.9864741781618,233.5,15
2016,74.4948152520788,195.5,1
2017,52.380139451952,194.5,1
2018,50.3025512181108,NaN,NaN
2019,45.6490869374405,210,8
2020,25.998843312915,188,2
2021,44.631269439091,207,2
2022,56.0523813544486,208,12
