Year,SLIE Distance (km),Breakup Date (DOY),Breakup Uncertainty (days)
2000,23.163340995373,149,22
2001,15.55411568142,149,4
2002,25.2059763357802,143.5,1
2003,21.2406548491535,143.5,1
2004,24.8621848560119,132.5,15
2005,23.4285224273661,145,2
2006,24.5475022958854,150.5,1
2007,27.4138997683369,144,4
2008,26.8704805394732,147.5,7
2009,29.4670925864493,155,8
2010,35.1935992445318,150.5,1
2011,22.7613352272204,145.5,1
2012,28.9199056211889,156.5,1
2013,25.005051553616,159.5,7
2014,28.2799952748644,123,2
2015,21.140203155037,145.5,1
2016,22.8025503486351,125.5,1
2017,27.3029571660583,130.5,1
2018,16.0144701431585,130.5,1
2019,6.17384460626922,133,2
2020,27.0029005674179,139.5,1
2021,24.1752245836497,143.5,1
2022,22.2237898296502,133.5,1
