Year,SLIE Distance (km),Breakup Date (DOY),Breakup Uncertainty (days)
2000,9.59999573917821,180.5,1
2001,5.15050616897763,187.5,1
2002,6.35450814344799,150,2
2003,3.30315357239209,164.5,1
2004,3.32041780276162,157.5,1
2005,6.06080476661615,169.5,1
2006,12.6158018123951,186.5,1
2007,10.8288384279418,172.5,1
2008,3.1119483466188,185.5,1
2009,5.63722451061159,171.5,1
2010,5.88381605488291,178.5,1
2011,4.87686421529817,163.5,1
2012,9.30299988137579,186.5,1
2013,6.65520524532095,183.5,11
2014,4.4928183034855,157.5,1
2015,5.63638090925561,152.5,1
2016,3.87805563323831,165.5,1
2017,9.49222451579621,139.5,1
2018,2.61106649155538,132,2
2019,2.06640706900915,151.5,1
2020,6.60560025334832,157.5,1
2021,1.89676120681394,171,2
2022,8.03511931452658,164.5,1
