Year,SLIE Distance (km),Breakup Date (DOY),Breakup Uncertainty (days)
2000,18.9641491850713,189,2
2001,6.60764402628516,175.5,21
2002,10.2275193933459,159.5,1
2003,10.1386453201939,162.5,1
2004,9.99247641615383,161.5,1
2005,14.0796559771097,174.5,1
2006,30.3466902248217,187.5,1
2007,33.4626356416552,170.5,1
2008,7.61812300222529,178.5,1
2009,17.5857769790747,169.5,1
2010,11.7492433527279,173.5,1
2011,18.6816196593821,178,2
2012,20.7444037796379,182.5,1
2013,5.5801858272954,176.5,1
2014,14.2236154946176,164,2
2015,15.7029209053246,161,2
2016,3.09633481982668,136.5,1
2017,23.5711784490082,170.5,1
2018,5.53523569522862,138.5,1
2019,6.90777327212178,165.5,1
2020,13.7579938378611,182.5,1
2021,7.84428961626888,162.5,7
2022,12.0208628048688,175.5,1
