Year,SLIE Distance (km),Breakup Date (DOY),Breakup Uncertainty (days)
2000,40.57842647337,217.5,1
2001,32.962842223291,230.5,17
2002,34.6097013144923,223.5,5
2003,57.7184400309326,215,2
2004,42.9360406508041,217.5,1
2005,24.0622338580641,221,2
2006,37.9980202612682,NaN,NaN
2007,21.3927848861549,194.5,1
2008,30.5289969136081,186.5,1
2009,23.0589537110302,185.5,1
2010,31.8716276157628,234.5,3
2011,24.2341279575607,195.5,1
2012,28.0495617109752,201.5,1
2013,35.9654144645919,193.5,1
2014,27.7472853678955,196.5,1
2015,36.0101379755686,NaN,NaN
2016,40.0497403683342,192.5,1
2017,24.9240504446163,191.5,1
2018,43.0173205096588,NaN,NaN
2019,22.383328072302,196.5,1
2020,17.5406893200591,188,2
2021,22.4511740568792,200.5,1
2022,29.0980238722383,208.5,5
