Year,SLIE Distance (km),Breakup Date (DOY),Breakup Uncertainty (days)
2000,6.03649668905613,134,10
2001,2.58437129372844,129,8
2002,3.96248198017218,123,18
2003,2.57049969396418,111.5,1
2004,4.1245985196127,112,6
2005,2.97016057648093,121.5,1
2006,7.12326376499653,146.5,1
2007,6.74016958671199,126,10
2008,7.5783553476032,135.5,5
2009,6.98246446712357,130.5,1
2010,6.49599862207633,131,6
2011,5.87346786616749,128,2
2012,7.46398714864988,140.5,1
2013,5.17418029426398,146.5,1
2014,2.60645041578906,110,4
2015,3.63457958220753,105.5,1
2016,2.04995937468805,102.5,1
2017,7.70921243553371,120,4
2018,2.61726615504874,116.5,11
2019,2.32472026229472,98.5,7
2020,6.68525716234251,118.5,1
2021,4.3767726889036,125,2
2022,5.94834695094207,116.5,1
