Year,SLIE Distance (km),Breakup Date (DOY),Breakup Uncertainty (days)
2000,5.91813017299458,167.5,1
2001,0.197909505500016,NaN,NaN
2002,3.2521122644431,157.5,5
2003,0.32571511584231,119.5,37
2004,2.80840393211995,139,28
2005,2.54649856496451,151,8
2006,6.6408377652944,143.5,1
2007,4.25900571933711,151.5,1
2008,4.68835797458648,156,4
2009,5.35774779394244,155.5,9
2010,0.916242457934706,144,8
2011,1.12780400636714,133,8
2012,3.5007244894784,159.5,1
2013,4.14697384878609,162,2
2014,4.41878894237868,138.5,1
2015,2.53089883154459,151.5,1
2016,4.9903763820596,143.5,11
2017,2.54406665007785,132.5,1
2018,0,0,0
2019,0,0,0
2020,3.04644842681855,152.5,1
2021,1.17202505276,158.5,19
2022,4.96405020219829,130,2
