Year,SLIE Distance (km),Breakup Date (DOY),Breakup Uncertainty (days)
2000,15.6862445376693,152.5,15
2001,8.74520395127449,146,10
2002,14.5791928423976,138.5,3
2003,10.7431448986242,137.5,5
2004,10.9640057872703,122.5,1
2005,11.8658083155643,138,10
2006,15.7657997940261,149.5,1
2007,14.9480105156628,143,6
2008,16.1450929312163,147.5,7
2009,19.6592650980885,148.5,3
2010,20.834023739692,150.5,1
2011,13.8857273792,141.5,1
2012,14.9813145518177,153,6
2013,13.7141986730238,158.5,9
2014,12.1868142738663,119.5,5
2015,10.9603984853167,137,16
2016,9.4848053157734,120.5,1
2017,15.3877339534627,123.5,7
2018,9.50871152265611,114,8
2019,3.85454748303181,122,6
2020,14.7455510310423,131,2
2021,13.3691578696063,141,4
2022,12.4472222934293,128,10
