Year,SLIE Distance (km),Breakup Date (DOY),Breakup Uncertainty (days)
2000,11.967068957792,162,2
2001,6.26776864998206,158.5,1
2002,10.1833401740098,147.5,1
2003,6.75210752706438,149.5,1
2004,8.53167449752061,140.5,1
2005,10.8577383173136,141,2
2006,13.5974397489051,160,2
2007,13.7810430200386,147.5,1
2008,10.0423101143344,151.5,1
2009,14.877372458268,156.5,3
2010,14.8214193333897,158.5,1
2011,19.0195522272499,151.5,3
2012,15.7686142078333,167.5,1
2013,9.76019992918949,160,6
2014,9.59367661683627,138,2
2015,14.6058655046904,140.5,3
2016,7.6217986855147,131,6
2017,18.4061462686818,147,4
2018,10.228069186038,143,2
2019,4.58693700484785,136,2
2020,13.4169617175245,145,2
2021,9.18937753556055,145.5,1
2022,11.1016506611011,151,2
