Year,SLIE Distance (km),Breakup Date (DOY),Breakup Uncertainty (days)
2000,37.5471173590253,187,2
2001,24.9948347668448,175.5,21
2002,34.7617539828996,146.5,1
2003,35.8684804068586,146.5,5
2004,28.8429633817542,163,6
2005,27.1851645824759,169,2
2006,26.6049395539299,161,2
2007,36.5491441779824,172,2
2008,32.3225289653813,177,4
2009,21.6524890269296,174,4
2010,62.7768791820099,175.5,1
2011,17.0247871013472,167,2
2012,42.8731829295668,180.5,1
2013,28.0085411334858,184.5,13
2014,33.900112923062,159.5,7
2015,26.8971135145954,149,4
2016,43.5370802763019,165,2
2017,33.8456206895552,158.5,1
2018,10.1870374394777,0,0
2019,8.36029026802241,0,0
2020,24.8273493374397,171.5,1
2021,22.7632564402408,0,0
2022,37.2596417342668,167.5,1
