Year,SLIE Distance (km),Breakup Date (DOY),Breakup Uncertainty (days)
2000,12.4718881605883,160.5,1
2001,6.72816793352206,159,2
2002,15.1597766854439,147.5,1
2003,13.9210262158597,145.5,3
2004,19.6663932391263,132,14
2005,12.2139157364802,146.5,3
2006,9.2625096803738,154.5,1
2007,25.1684170613322,152.5,1
2008,16.2794276238383,151.5,1
2009,12.3138373606882,157,4
2010,29.5654018747867,164,12
2011,10.8482729644803,152,2
2012,28.9164337003546,164,4
2013,12.5180415360521,160,6
2014,13.5794934692993,134.5,9
2015,12.3103638248218,135.5,13
2016,14.8165898758953,131,6
2017,22.29325756241,139.5,1
2018,8.71949398990973,129.5,13
2019,2.66342347748506,130,6
2020,17.5681582482723,147.5,3
2021,11.4157548752224,147.5,1
2022,13.7010962588254,138.5,1
