Year,SLIE Distance (km),Breakup Date (DOY),Breakup Uncertainty (days)
2000,15.7339998389205,173,4
2001,6.11630932723488,175.5,21
2002,11.863516560054,153.5,1
2003,8.45409055327565,155.5,1
2004,9.83705326725653,154.5,1
2005,10.0661214568143,154,2
2006,20.3623903126879,172.5,11
2007,11.7985641031044,162.5,1
2008,9.00772650127125,165.5,1
2009,15.7734937614522,162.5,1
2010,7.99402205524399,171.5,1
2011,14.564715812642,161.5,1
2012,11.2492897328145,166.5,1
2013,16.4947691429724,172,2
2014,10.8861660110892,159.5,1
2015,12.9892857068115,147.5,1
2016,6.99821389854842,162.5,3
2017,13.3557188537246,148.5,1
2018,6.41337854764115,150,2
2019,4.45305959516674,148.5,3
2020,23.3470977306386,152.5,1
2021,9.65510236577271,150,2
2022,14.5222178719062,161.5,1
