Year,SLIE Distance (km),Breakup Date (DOY),Breakup Uncertainty (days)
2000,8.50692486881952,151.5,11
2001,1.58215752112795,141.5,1
2002,6.66426550984248,135.5,1
2003,4.20230589471425,121,2
2004,4.6982055390584,120,2
2005,2.78612996643729,130.5,1
2006,6.24460593512097,149.5,1
2007,7.31213614294506,129.5,3
2008,9.47218676477045,147.5,9
2009,8.85280550557104,146.5,1
2010,8.61261240004769,146.5,1
2011,5.05823355940222,137.5,3
2012,8.33381883381561,151,2
2013,7.2978458160635,151.5,1
2014,4.53455114825906,118.5,5
2015,4.09423660587971,137,16
2016,3.05639694874876,114.5,1
2017,7.00882345417125,124,8
2018,2.88146172082123,117.5,17
2019,1.28336711272602,122,6
2020,7.39541775631689,127.5,1
2021,4.59335217238673,138.5,11
2022,7.2813559036983,121.5,1
