Year,SLIE Distance (km),Breakup Date (DOY),Breakup Uncertainty (days)
2000,8.2534779837203,151.5,11
2001,1.48225588127194,141.5,1
2002,6.4485167460617,135.5,1
2003,4.03018183543821,121,2
2004,4.53126235355404,120,2
2005,2.6370581193663,130.5,1
2006,5.94897948923839,149.5,1
2007,7.05749643630542,129.5,3
2008,9.34366072614419,147.5,9
2009,8.58276929886701,146.5,1
2010,8.57744310056489,146.5,1
2011,4.85526746150326,137.5,3
2012,8.06086985100349,151,2
2013,7.06552296966823,151.5,1
2014,4.39902714767052,115.5,1
2015,4.11672168320929,137,16
2016,3.03663087099045,114.5,1
2017,7.05479700400043,124,8
2018,2.73635087148587,117.5,17
2019,1.20180332002212,122,6
2020,7.14343113998666,127.5,1
2021,4.35246686508787,138.5,11
2022,6.98851766855535,121.5,1
