Year,SLIE Distance (km),Breakup Date (DOY),Breakup Uncertainty (days)
2000,8.81791979579909,162,2
2001,4.01025630300673,160.5,3
2002,11.4761056508752,147.5,1
2003,8.94651327690641,145.5,3
2004,13.5679029961082,132,14
2005,8.30877361974922,141,2
2006,7.10766378525027,160,2
2007,20.1842559663591,152.5,1
2008,12.0070479651584,151.5,1
2009,8.11559007236007,156.5,3
2010,23.414959955309,166.5,7
2011,9.82216917276221,149.5,1
2012,23.4652068212138,167.5,1
2013,7.51930127598176,160,6
2014,9.37955524089831,135,4
2015,9.89630242389009,140.5,3
2016,11.0699160542567,124.5,1
2017,19.734169574262,143.5,1
2018,5.70517319554616,138.5,3
2019,1.45908475411977,130.5,9
2020,13.29262172069,145,2
2021,6.63494979167272,146.5,1
2022,9.82795658519981,147,4
