Year,SLIE Distance (km),Breakup Date (DOY),Breakup Uncertainty (days)
2000,34.6549790258783,215.5,1
2001,33.849239547885,221.5,7
2002,31.0277053707663,193.5,1
2003,38.1045299273612,197.5,1
2004,34.8652802934238,193,2
2005,30.1061612798282,196,2
2006,39.5861935819541,219,4
2007,24.7780085097447,182.5,1
2008,24.0686597593735,195.5,1
2009,30.7628993993866,190,6
2010,38.1118187593464,205.5,1
2011,28.2036062920063,186,2
2012,37.9959412376053,212.5,3
2013,31.9243692726045,219.5,1
2014,36.3139461763322,215,8
2015,23.1731404420862,179.5,1
2016,34.4458908659127,189.5,1
2017,37.0334837815685,187.5,5
2018,34.4050358068772,208,4
2019,18.1217551593666,184,4
2020,32.7259420719144,190.5,1
2021,33.8918460584254,209,14
2022,33.0149018965404,196.5,3
