Year,SLIE Distance (km),Breakup Date (DOY),Breakup Uncertainty (days)
2000,13.9085700612555,194.5,1
2001,8.43637776077128,184.5,1
2002,6.69848366506824,188.5,1
2003,9.61104389613914,177.5,1
2004,10.436079925893,162.5,1
2005,11.2754230211065,186.5,3
2006,16.3939193496567,210.5,7
2007,23.730471097803,164.5,1
2008,11.2443808831289,193.5,1
2009,11.0472350879475,175.5,5
2010,10.8433844548319,169.5,1
2011,13.9784785433254,183.5,1
2012,11.2110220576739,175,2
2013,5.68074653684029,182.5,1
2014,8.54289661721302,185.5,1
2015,13.1972667450972,167.5,1
2016,5.46367705388466,155,6
2017,13.2188834894227,177,2
2018,8.3614819959497,178.5,1
2019,5.73402715297537,167.5,1
2020,27.860276743674,161.5,1
2021,5.87105980397716,183.5,1
2022,9.20690089039843,178.5,3
