Year,SLIE Distance (km),Breakup Date (DOY),Breakup Uncertainty (days)
2000,18.5315703620994,180.5,1
2001,7.46988364283177,175.5,21
2002,14.2611452367635,147.5,1
2003,9.68474036655492,150.5,3
2004,11.6528519323696,158.5,1
2005,11.3967192828941,169,2
2006,22.7957828664473,167.5,1
2007,14.0146669401175,162.5,1
2008,9.91976970712776,169.5,7
2009,16.9646713442029,163.5,1
2010,9.70130535394557,174.5,1
2011,16.6646853815344,161.5,1
2012,12.6735609237696,170.5,1
2013,19.2437771261499,175.5,3
2014,13.2964196256932,159.5,7
2015,14.6523607888657,150,2
2016,8.45576954549641,154.5,1
2017,15.0555174564661,151.5,1
2018,7.32660302223401,150,2
2019,5.25686453141491,148.5,3
2020,26.2150718424266,153.5,1
2021,11.5905267156004,152,2
2022,17.2894923419353,159.5,1
