Year,SLIE,Breakup_DOY,Breakup_Uncertainty,Community,Latitude,Longitude,Region,Mean_Breakup_DOY,Mean_SLIE,Breakup_Anomaly,SLIE_Anomaly
2000,23.163340995373,149.0,22.0,Nunam Iqua,62.53361,-164.84111,Southern,142.43478260869566,23.8586781589803,6.565217391304344,-0.6953371636072987
2001,15.55411568142,149.0,4.0,Nunam Iqua,62.53361,-164.84111,Southern,142.43478260869566,23.8586781589803,6.565217391304344,-8.3045624775603
2002,25.2059763357802,143.5,1.0,Nunam Iqua,62.53361,-164.84111,Southern,142.43478260869566,23.8586781589803,1.0652173913043441,1.3472981767998995
2003,21.2406548491535,143.5,1.0,Nunam Iqua,62.53361,-164.84111,Southern,142.43478260869566,23.8586781589803,1.0652173913043441,-2.6180233098267998
2004,24.8621848560119,132.5,15.0,Nunam Iqua,62.53361,-164.84111,Southern,142.43478260869566,23.8586781589803,-9.934782608695656,1.0035066970316002
2005,23.4285224273661,145.0,2.0,Nunam Iqua,62.53361,-164.84111,Southern,142.43478260869566,23.8586781589803,2.565217391304344,-0.4301557316141995
2006,24.5475022958854,150.5,1.0,Nunam Iqua,62.53361,-164.84111,Southern,142.43478260869566,23.8586781589803,8.065217391304344,0.6888241369051009
2007,27.4138997683369,144.0,4.0,Nunam Iqua,62.53361,-164.84111,Southern,142.43478260869566,23.8586781589803,1.5652173913043441,3.5552216093566003
2008,26.8704805394732,147.5,7.0,Nunam Iqua,62.53361,-164.84111,Southern,142.43478260869566,23.8586781589803,5.065217391304344,3.011802380492899
2009,29.4670925864493,155.0,8.0,Nunam Iqua,62.53361,-164.84111,Southern,142.43478260869566,23.8586781589803,12.565217391304344,5.608414427469
2010,35.1935992445318,150.5,1.0,Nunam Iqua,62.53361,-164.84111,Southern,142.43478260869566,23.8586781589803,8.065217391304344,11.334921085551503
2011,22.7613352272204,145.5,1.0,Nunam Iqua,62.53361,-164.84111,Southern,142.43478260869566,23.8586781589803,3.065217391304344,-1.0973429317599006
2012,28.9199056211889,156.5,1.0,Nunam Iqua,62.53361,-164.84111,Southern,142.43478260869566,23.8586781589803,14.065217391304344,5.061227462208599
2013,25.005051553616,159.5,7.0,Nunam Iqua,62.53361,-164.84111,Southern,142.43478260869566,23.8586781589803,17.065217391304344,1.1463733946356989
2014,28.2799952748644,123.0,2.0,Nunam Iqua,62.53361,-164.84111,Southern,142.43478260869566,23.8586781589803,-19.434782608695656,4.421317115884101
2015,21.140203155037,145.5,1.0,Nunam Iqua,62.53361,-164.84111,Southern,142.43478260869566,23.8586781589803,3.065217391304344,-2.7184750039433005
2016,22.8025503486351,125.5,1.0,Nunam Iqua,62.53361,-164.84111,Southern,142.43478260869566,23.8586781589803,-16.934782608695656,-1.056127810345199
2017,27.3029571660583,130.5,1.0,Nunam Iqua,62.53361,-164.84111,Southern,142.43478260869566,23.8586781589803,-11.934782608695656,3.4442790070779985
2018,16.0144701431585,130.5,1.0,Nunam Iqua,62.53361,-164.84111,Southern,142.43478260869566,23.8586781589803,-11.934782608695656,-7.844208015821799
2019,6.17384460626922,133.0,2.0,Nunam Iqua,62.53361,-164.84111,Southern,142.43478260869566,23.8586781589803,-9.434782608695656,-17.68483355271108
2020,27.0029005674179,139.5,1.0,Nunam Iqua,62.53361,-164.84111,Southern,142.43478260869566,23.8586781589803,-2.934782608695656,3.1442224084375994
2021,24.1752245836497,143.5,1.0,Nunam Iqua,62.53361,-164.84111,Southern,142.43478260869566,23.8586781589803,1.0652173913043441,0.31654642466940075
2022,22.2237898296502,133.5,1.0,Nunam Iqua,62.53361,-164.84111,Southern,142.43478260869566,23.8586781589803,-8.934782608695656,-1.6348883293300993
2000,12.4718881605883,160.5,1.0,Stebbins,63.5119,-162.2744,Southern,146.95652173913044,14.87396266761165,13.543478260869563,-2.4020745070233502
2001,6.72816793352206,159.0,2.0,Stebbins,63.5119,-162.2744,Southern,146.95652173913044,14.87396266761165,12.043478260869563,-8.145794734089591
2002,15.1597766854439,147.5,1.0,Stebbins,63.5119,-162.2744,Southern,146.95652173913044,14.87396266761165,0.5434782608695627,0.2858140178322497
2003,13.9210262158597,145.5,3.0,Stebbins,63.5119,-162.2744,Southern,146.95652173913044,14.87396266761165,-1.4565217391304373,-0.9529364517519507
2004,19.6663932391263,132.0,14.0,Stebbins,63.5119,-162.2744,Southern,146.95652173913044,14.87396266761165,-14.956521739130437,4.79243057151465
2005,12.2139157364802,146.5,3.0,Stebbins,63.5119,-162.2744,Southern,146.95652173913044,14.87396266761165,-0.45652173913043725,-2.6600469311314505
2006,9.2625096803738,154.5,1.0,Stebbins,63.5119,-162.2744,Southern,146.95652173913044,14.87396266761165,7.543478260869563,-5.6114529872378505
2007,25.1684170613322,152.5,1.0,Stebbins,63.5119,-162.2744,Southern,146.95652173913044,14.87396266761165,5.543478260869563,10.29445439372055
